Designator,Footprint,Quantity,Value,LCSC Part #
C2,C_Disc_D8.0mm_W5.0mm_P5.00mm,1,10u,
"D1, D10, D2, D3, D4, D5, D6, D7, D8, D9",LED_D5.0mm,10,LED,
J1,USB_A_Molex_67643_Horizontal,1,USB_A,
R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,477,
R2,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,1k,
"R3, R4",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,2,10k,
R5,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,500,
SW1,SW_PUSH-12mm,1,SW_Push,
U1,DIP-8_W7.62mm,1,NE555P,
U2,DIP-16_W7.62mm,1,4017,
