Designator,Mid X,Mid Y,Rotation,Layer
C2,86.19,-136.25,0.0,top
D1,88.73,-84.25,0.0,top
D10,62.23,-84.25,0.0,top
D2,109.98,-100.0,0.0,top
D3,117.73,-124.75,0.0,top
D4,109.98,-149.75,0.0,top
D5,88.73,-165.75,0.0,top
D6,62.23,-165.75,0.0,top
D7,40.73,-149.75,0.0,top
D8,32.23,-124.75,0.0,top
D9,40.73,-100.0,0.0,top
J1,75.0,-162.745,0.0,top
R1,86.19,-126.0,0.0,top
R10,32.19,-130.75,0.0,top
R11,40.69,-106.0,0.0,top
R12,62.19,-90.25,0.0,top
R13,88.94,-143.75,0.0,top
R14,85.44,-104.75,0.0,top
R2,86.19,-131.0,180.0,top
R3,88.69,-90.25,0.0,top
R4,109.94,-106.0,0.0,top
R5,117.69,-130.75,0.0,top
R6,109.94,-143.75,0.0,top
R7,88.69,-159.75,0.0,top
R8,62.19,-159.75,0.0,top
R9,40.44,-143.75,0.0,top
SW1,75.0,-146.25,0.0,top
U1,75.005,-129.75,0.0,top
U2,75.005,-111.0,0.0,top
